confusing and difficult to understand	令人困惑的；令人不知所措的
unexpected	令人意外的，讓人吃驚的，出人意料的
encouraging you to feel welcome or attracted	令人愉快的；吸引人的
unreasonable or unsuitable because of being based on bad judgment or on wrong information or beliefs	被誤導的；被引入歧途的；判斷失誤的
with different parts failing to work or move well together	不協調的；笨拙的
making you feel more confidence or hope	令人鼓舞的；振奮人心的
very small in amount	極小的；極少的
making you feel excited	令人興奮的;使人激動的;刺激的
causing someone to believe something that is not true	誤導的;引入歧途的;讓人產生錯誤觀念的
Exorbitant prices, demands, etc. are much too large.	（價格、要求等）過分的，過高的，離譜的
to discover the meaning of something	弄清；理解
to add words to a text	插入（文字）
to search and discover (about something)	探測；勘查；探索；研究
to make someone or something more important or to improve something	提升；提高；改進
having control over a person or place	佔支配地位的，控制的；統治的
to experience great difficulties or be completely unable to decide what to do or say next	困難重重；艱苦掙扎；不知所措
the most successful, popular, or powerful point	（成功、流行、權力等的）頂峰，頂點，最高點
a moment when you suddenly feel that you understand, or suddenly become conscious of, something that is very important to you	（對重要事物的）頓悟
a situation in which progress is impossible, especially because the people involved cannot agree	絕境；僵局
to accept military defeat	投降；屈服；停止抵抗
to return to a previous and less advanced or worse state, condition, or way of behaving	退步；退化；倒退
to cause people to doubt someone's character, qualities, or reputation by criticizing them	抨擊；質疑
anger, argument, and bad feeling:	（言語、態度等的）尖刻；毒辣；辛辣；激烈
an unpleasant mixture of loud sounds	刺耳嘈雜的聲音；雜音
a position which involves little work, but for which the person is paid	坐領乾薪的職位，閒職 ，冗職
to make it more difficult for something to happen or more difficult for someone to do something	妨礙，阻礙；阻止
to make or do something again in exactly the same way	使複現；重複；複製
to be greater or more important than something else	比…更重要；重於；大於
large in size, value, or importance	大的；可觀的；價值巨大的；重大的
(of an amount of money) very small and of little or no value	（金錢）微不足道的，無價值的
morally very bad	令人憎惡的；使人厭惡的；可惡的
intended to show meaning, often secretly	富有意義的，意味深長的
difficult to describe, find, achieve, or remember	難以描述（或找到、達到、記起）的；困難的
liked, enjoyed, or supported by many people	受大眾喜愛的，受歡迎的
costing a lot of money	昂貴的；用錢多的；價格高的
resulting in or likely to result in a profit or an advantage	有盈利的；有益的
without a clear plan or purpose and showing little effort or interest	漫無目的的，隨意的；無計劃的
not willing to spend money or give something	吝嗇小氣的，過度節儉的
unpleasant and likely to argue a lot	易怒的；好鬥的；尋釁的
an act of breaking a law, promise, agreement, or relationship	破壞，違犯；違反，不履行
to avoid something by taking a particular course of action	繞開，繞過，避免觸犯（法律規定等）
to avoid something, especially cleverly or illegally	（尤指巧妙或非法地）逃避，規避，繞過
an enemy	對手，敵手
a temporary resident	旅居者；寄居者
a person who lives or works in a room or building	居住者
decided by officials and not fixed by rules	（由官員）自行決定的，自主的
thought to be too important or too special to be changed	神聖不容更改（或侵犯）的
showing bad judgment	不明智的；缺乏判斷力的
an idea that is suggested or accepted as a basic principle before a further idea is formed or developed from it	假定，假設
to say or prove that a person, statement, opinion, etc. is wrong or false	駁斥；反駁；否認…的正確性（或真實性）
to fail to notice or consider something or someone	忽視；忽略，沒注意到
relating to an embryo	胚的，胚胎的
relating to or causing very serious infectious disease that spreads quickly and kills large numbers of people	疫病的
under the ground	地下的
to refuse to buy a product or take part in an activity as a way of expressing strong disapproval	拒絶購買（或參加）；抵制，杯葛
