helpful, useful, or good	有益的，有用的，有利的
that can be seen, heard, or noticed	可察覺到的;可感知的
harmful	有害的，造成危害的
A salubrious place is pleasant, clean, and healthy to live in.	（地方）環境宜人且有益健康的，宜居的
to praise something or someone very much	讚揚;讚頌;讚美
to make someone famous, or to treat someone as if they were famous	使成名;將…視作名人
to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way	盤算;沈思，冥想
to disagree with something or someone, often by speaking or fighting against it, him, or her	反對;反抗;抵制
to say formally or publicly that you no longer own, support, believe in, or have a connection with something	聲明放棄;宣佈放棄;棄絕
rude and not considering other people's feelings	粗魯的，粗暴的，失禮的
too eager to praise or obey someone	巴結的，諂媚的;卑躬屈膝的
unwilling to speak about your thoughts or feelings	沈默寡言的;不願交談的
to ignore something	忽視，無視，不理會
to laugh at someone in an unkind way	嘲笑;奚落;戲弄
to pretend to feel or think something	假裝
to copy the way in which a particular person usually speaks and moves, usually in order to make people laugh	（為逗樂而）模仿，學…的樣子
an obvious difference between two or more things	差別，差異；對照，對比
(of people) liking to be with other people	（人）愛交際的，不喜獨處的
