a noisome stench	惡臭
The audience was becoming restive as they waited for the performance to begin.	觀衆們等待演出開始時變得越來越不耐煩。
Considering the weather, we got here pretty quickly.	考慮到天氣因素，我們到這裡算夠快的了。
"Why did you do it?" "Because Carlos told me to".	「你為甚麼做出這事？」「因為卡洛斯叫我去做的。」
The report criticizes the banks for being imprudent in their lending.	該報告批評銀行在貸款方面不謹慎。
It has to be said it was rather ingenuous of him to ask a complete stranger to take care of his luggage.	他讓一個完全陌生的人幫自己看管行李，這未免也太天真了。
I find chicken a little bland.	我覺得雞肉有點淡。
no example found
scanty evidence/information	不充分的證據／資訊
He looks robust and healthy enough.	他看起來非常強壯健康。
She gave a clear and lucid account of her plans for the company's future.	她清楚明瞭地講述了自己對公司未來的規劃。
If only she'd been called Camilla or Flavia instead of the prosaic Jane.	要是她叫「卡蜜拉」或「弗拉維亞」而不是叫「珍」這個平常的名字該多好。
an abstruse philosophical essay	深奧的哲學文章
While I accept that he's not perfect in many respects, I do actually like the man.	雖然我承認他在很多方面不是那麼完美，但我實際上還是非常喜歡這個男人。		
He's so cheap he didn't even buy me a card for my birthday.	他真小氣，居然連張生日卡都沒給我買。		
poisonous chemicals	有毒化學物質		
It was a building of singular grace and beauty.	這棟建築物非常雅致、漂亮。		
A move towards healthy eating could help eliminate heart disease.	養成健康的飲食習慣有助於消除心臟病誘因。		
The documents had been duplicated.	這些文件已經被複印過了。		
to preserve the environment	保護環境		
