very unpleasant and offensive	極令人不快的；令人厭惡的
unwilling to be controlled or be patient	難駕馭的，不受管束的;焦躁不安的
used to mention a particular condition or fact about something, usually a disadvantage	考慮到;就…而言
for the reason that	因為，由於
unwise, by failing to consider the likely results of your actions	不明智的;不謹慎的，輕率的
honest, sincere, and trusting, sometimes in a way that seems silly	天真的;胸無城府的
not having a strong taste or character or not showing any interest or energy	無滋味的;枯燥乏味的;沒精打采的，無生氣的
(especially of food) attractive or pleasant	（尤指食物）吸引人的，可口的
smaller in size or amount than is considered necessary or is hoped for	少量的；不足的；缺乏的
(of a person or animal) strong and healthy, or (of an object or system) strong and unlikely to break or fail	（人或動物）強壯的，茁壯的;（東西或系統）堅固的，耐用的，結實的
clearly expressed and easy to understand, or (of a person) thinking or speaking clearly	清晰的，明瞭的;（人）頭腦清醒的，說話清楚的
without interest, imagination, and excitement	乏味的;平淡無奇的;缺乏想像力的
not known or understood by many people	難解的;深奧的
despite the fact that; although	雖然;儘管
unwilling to spend money	小氣的，吝嗇的
very harmful and able to cause illness or death	有毒的，有害的
of an unusual quality or standard; noticeable	特別的；引人注意的
to remove or take away someone or something	排除;消除;清除
to make an exact copy of something	複製，拷貝
to keep something as it is, especially in order to prevent it from decaying or being damaged or destroyed	保護，維護；保存；保養
