familiar with something	習慣的；適應了的
to get something	取得，獲得;購得;學到
impossible to persuade, or unwilling to change an opinion or decision	固執的；堅決的，堅定不移的
enough or satisfactory for a particular purpose	足夠的;合格的;合乎需要的
having a negative or harmful effect on something	不利的；負面的；有害的
a person who takes part in an activity for pleasure, not as a job	業餘愛好者;業餘運動員
having or expressing more than one possible meaning, sometimes intentionally	含糊不清的;引起歧義的，模棱兩可的;不明確的
more than enough	足夠的，充足的，充裕的
a person or thing that is different from what is usual, or not in agreement with something else and therefore not satisfactory	異常的人（或事物）；不規則；（同一種類中的）畸形
to make someone dislike you or feel opposed to you	使對抗，使對立;引起…的敵意（或反感）
based on chance rather than being planned or based on reason	任意的；隨機的；隨心所欲的
difficult, needing a lot of effort and energy	艱難的，艱巨的；費力的
to make unpleasant feelings less strong	緩和；減輕；平息
to criticize or speak in an angry manner to someone	嚴責，訓斥
to give something as an honour or present	贈予;給予
to speak too proudly or happily about what you have done or what you own	自吹自擂，吹噓，誇耀
(of people) showing too much confidence and too little respect	（人）傲慢的;粗魯的;自以為是的
quick and rude in manner or speech	粗魯的;唐突的
strong criticism or disapproval	指責，斥責，譴責
following the order in which a series of events happened	按事件發生的年代順序排列的
If two or more things coalesce, they come or grow together to form one thing or system.	聯合，合併
understanding or realizing something	察知的;認識到的
the situation when the members of a group or society are united	凝聚（力）；團結
to happen at or near the same time	（幾乎）同時發生
a willingness to give your time and energy to something that you believe in, or a promise or firm decision to do something	忠誠;投入;奉獻;承諾，保證，諾言
to prevent something from being seen or known about	隱藏；隱匿；隱瞞；隱蔽
to agree or have the same opinion	同意，贊成;意見一致
to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way	盤算;沈思，冥想
in large amounts, or more than enough	大量的，豐富的；過量的
If metal corrodes, or if something corrodes it, it is slowly damaged by something such as rain or water.	（使）腐蝕;侵蝕
awkward because of being large, heavy, or not effective	笨重的；累贅的；低效的
