to a very great amount or level, or extremely well	巨大地;極好地
difficult, needing a lot of effort and energy	艱難的，艱巨的；費力的
a lot of disagreement or argument about something, usually because it affects or is important to many people	爭議;爭論;爭辯
a tube that carries liquids such as blood through the body	（人體的）血管，脈管
to bend your knees and lower yourself so that you are close to the ground and leaning forward slightly	蹲下，蹲伏；蜷縮
a vehicle or ship that has been destroyed or badly damaged	嚴重損毀的交通工具;沉船
a narrow hole that is dug into the ground	壕溝；溝渠
a reduction in something	減少；減小；縮小
an action or statement that is intended to make someone angry	激怒;挑釁;挑釁的話
intended to teach, especially in a way that is too determined or eager, and often fixed and unwilling to change	教訓的，說教的
to remove a covering like a curtain from a new structure at a formal ceremony in order to show the opening or finishing of a new building or work of art	爲…揭幕
relating to breathing	呼吸的
to examine something very carefully in order to discover information	細看，仔細審查
producing an unpleasant sound	（聲音）刺耳的;不和諧的
to give a detailed explanation of something	詳細解釋;闡述;詳細說明
water that falls from the clouds towards the ground, especially as rain or snow	（尤指雨或雪的）降落;降水
