needing or using a lot of physical or mental effort or energy	費力的，費勁的;繁重的;耗費精力的
the general weather conditions usually found in a particular place	氣候
to grow, develop, or be successful	茁壯成長；興旺，繁榮
an occasion when an army or country uses force to enter and take control of another country	入侵，侵略
a chemical substance made and used for killing insects, especially those that eat plants	殺蟲劑
to make something slower	阻礙;減緩
the careful watching of a person or place, especially by the police or army, because of a crime that has happened or is expected	（尤指員警或軍隊的）監視，盯梢
(of animals and plants) the quality of being able to produce young or fruit	（動植物的）生殖力，繁殖能力
any small organism, such as a virus or a bacterium that can cause disease	病原體
the use of leaves, branches, paints, and clothes for hiding soldiers or military equipment so that they cannot be seen against the area around them	（軍事）掩護，隱蔽，偽裝
the process by which characteristics are given from a parent to their child through the genes	遺傳
willingness to accept behaviour and beliefs that are different from your own, although you might not agree with or approve of them	寬容;忍受;容忍
(of a member of the armed forces) having achieved the rank of officer by receiving a commission (= an official order) rather than by rising from the lower ranks	獲委任（為軍官）的
relating to literature (= written artistic works, especially those with a high and lasting artistic value)	文學的，與文學相關的
to begin something	開始;著手
a person who believes strongly in political or social change and takes part in activities such as public protests to try to make this happen	激進主義分子，行動主義分子;積極分子
to order someone to do something	命令;要求
to have or own something, or to have a particular quality	擁有；具有
relating to the physical structure of an animal or plant	解剖構造的；動植物結構的
shaking slightly in a way that you cannot control, for example because you are frightened, angry, or excited, or because of illness	顫抖的，發抖的
relating to the structure of the surface of the earth and the way it is formed, changed, and moved by forces inside it	地殼構造的
to spoil the usual and true shape of something	使變形，使扭曲
to force something out of its usual or original position	迫使…離開常居地（或原位）
showing love for your country and being proud of it	愛國的;有愛國心的
to cause someone to feel sudden strong emotion	（強烈的感情）充溢，使難以承受，使不知所措
energetic, exciting, and full of enthusiasm	活躍的;精力充沛的;熱情洋溢的
the act of emptying the contents of the stomach through the mouth	嘔吐
an illness in which the body's solid waste is more liquid than usual and comes out of the body more often	腹瀉
to stop something	停止，中止
a person or animal that lives in a particular place	（某地的）居民，棲息動物
to lack or be without something that is necessary or usual	缺乏，缺少
the point on the earth's surface directly above an earthquake or atomic explosion	（地震）震央;（原子彈爆炸的）中心，爆炸點
the policy of keeping one group of people apart from another and treating them differently, especially because of race, sex, or religion	（尤指基於種族或性別原因）隔離並差別對待
a particular characteristic that can produce a particular type of behaviour	（個人的）特徵，特性，品質
an animal that has a spine	脊椎動物
in a sudden, unexpected, and sometimes unpleasant way	突然地;意外地
to release large amounts of liquid, gas, or other contents	大量排放（液體、氣體等物質）
