needing or using a lot of physical or mental effort or energy	費力的，費勁的;繁重的;耗費精力的
the general weather conditions usually found in a particular place	氣候
to grow, develop, or be successful	茁壯成長；興旺，繁榮
an occasion when an army or country uses force to enter and take control of another country	入侵，侵略
a chemical substance made and used for killing insects, especially those that eat plants	殺蟲劑
to make something slower	阻礙;減緩
the careful watching of a person or place, especially by the police or army, because of a crime that has happened or is expected	（尤指員警或軍隊的）監視，盯梢
(of animals and plants) the quality of being able to produce young or fruit	（動植物的）生殖力，繁殖能力
any small organism, such as a virus or a bacterium that can cause disease	病原體
the use of leaves, branches, paints, and clothes for hiding soldiers or military equipment so that they cannot be seen against their surroundings	（軍事）掩護，隱蔽，偽裝
the process by which characteristics are given from a parent to their child through the genes	遺傳
willingness to accept behaviour and beliefs that are different from your own, although you might not agree with or approve of them	寬容;忍受;容忍
willingness to accept behaviour and beliefs that are different from your own, although you might not agree with or approve of them	寬容;忍受;容忍
(of a member of the armed forces) having achieved the rank of officer by receiving a commission (= an official order) rather than by rising from the lower ranks	獲委任（為軍官）的
connected with literature	文學的，與文學相關的
to begin something	開始;著手
