a green plant with long stems, leaves like feathers, and no flowers	蕨;蕨類植物
a very small, green or yellow plant that grows especially in wet earth or on rocks, walls, and tree trunks	苔蘚
a small, narrow crack or space, especially in the surface of rock	（尤指岩石表面的）裂縫，裂隙
any plant of a group of plants that have flowers and seeds	被子植物
a common small, bright yellow wild flower that has a lot of long, thin petals arranged in a circular pattern around a round centre	蒲公英
Something that is dormant is not active or growing but has the ability to be active at a later time.	蟄伏的，沉睡的，休眠的
changes that happen at different times during the life or development of someone or something, especially those that result in conditions being worse	變遷；人生沉浮；波折
not happening or done often or regularly	偶爾的;不經常的
a hard but delicate, shiny, white substance made by heating a special type of clay to a high temperature, used to make cups, plates, decorations, etc.	瓷
to describe or mark the edge of something	描述;勾畫
perfect happiness	極樂，狂喜;天賜之福
a picture of an object that is used to represent a particular person, group, or idea	象徵;標誌;符號;徽章
not having any connection with religion	世俗的；非宗教的
the action of becoming intentionally involved in a difficult situation, in order to improve it or prevent it from getting worse	幹預|幹涉
extremely	非常，極其
in a way that is enough to have an important effect	顯著地|明顯地
(especially of environmental conditions) existing in the surrounding area	周圍的;（尤指）周圍環境條件的
moving or behaving in a way that is not regular, certain, or expected	（動作、行爲等）不規則的，不確定的，無計劃的
