a large boat or a ship	船，艦
to turn and direct an object	操縱，控制
a circular device used from ancient times until about the 18th century for measuring the position of stars, and on ships for calculating the ship's position	等高儀，星象盤（古時用於測量天體高度等的儀器）
to remove all signs of something, either by destroying it or by covering it so that it cannot be seen	徹底毀掉，抹去，覆蓋（使不留痕跡）
not clear	不清楚的，模糊的
an animal, such as a frog, that lives both on land and in water but must produce its eggs in water	兩棲動物
the use of leaves, branches, paints, and clothes for hiding soldiers or military equipment so that they cannot be seen against the area around them	（軍事）掩護，隱蔽，偽裝
(a special occasion or period of) public enjoyment and entertainment involving wearing unusual clothes, dancing, and eating and drinking, usually held in the streets of a city	狂歡節;嘉年華
public attention and interest	公衆關注
a bird's covering of feathers	（鳥的）全身羽毛
a cover fixed over a seat or bed, etc. for shelter or decoration	（座位或床上的）頂罩，罩蓋，罩篷
the time when people have a romantic relationship with the intention of getting married	求愛期;戀愛期
a part of a plant or animal that is like a bag and often contains liquid, or a similar artificially made structure	（動植物的）囊，液囊
to move or do something quickly and energetically	迅猛移動；猛地做…
hanging down loosely	懸垂的，下垂的
to say something or to make a sound with your voice	說;講;出聲
going through or into something	穿透的
something that makes progress, movement, or achieving something difficult or impossible	妨礙，阻礙；阻止
to block a road, passage, entrance, etc. so that nothing can go along it, or to prevent something from happening correctly by putting difficulties in its way	阻塞，堵塞，阻擋（道路、通道、入口等）
a group of animals that includes cows, buffalo, and bison, that are often kept for their milk or meat	牛
the young of an animal	（動物的）幼崽，崽獸
the particular type and arrangement of genes that each organism has	基因型;遺傳型
involving a relationship between two species (= sets of animals or plants in which the members have similar characteristics to each other and can breed with each other) in which one gets an advantage from living closely with the other and the other is not affected by it	共生地
