something, such as an insect, that carries pollen from one plant or part of a plant to another	傳粉昆蟲;傳粉媒介
a powder, produced by the male part of a flower, that causes the female part of the same type of flower to produce seeds. It is carried by insects or the wind.	花粉
a group of animals or plants, more closely related than a family, but less similar than a species	（動植物的）屬
a small, sharp pointed growth on the stem of a plant	（植物莖上的）刺，荊棘
(of animals or plants or their cells) to produce and release a liquid	（動植物或其細胞）分泌
an animal that eats only plants	食草動物，草食動物
something that is very unusual, or the quality of being very unusual	罕見的東西（或人）；稀有，罕見
a job or position that is very suitable for someone, especially one that they like	（尤指本人合意的）適合的工作（或職位）;稱心的工作
a narrow area of sea that connects two larger areas of sea	海峽
a person who owns or rents a small piece of land and grows crops, keeps animals, etc. on it, especially one who has a low income, very little education, and a low social position. This is usually used of someone who lived in the past or of someone in a poor country.	（通常指舊時或貧窮國家的）農民，農夫
to hold up and support something by fastening it to stakes	用樁支撐；把…繫於樁上
If you express an amount per capita, you mean that amount for each person.	人均（地）
a loud noise that you make in the throat without wanting to, caused by a sudden tightening of a muscle just below the chest and usually happening repeatedly	打呃，打嗝
related to the bag and liquid that surround the embryo (= developing young animal) of a mammal, bird, or reptile inside its mother	羊膜的
