a precious gift	珍貴的禮物
a vestigial organ/limb/tail	退化的器官／上肢／尾巴
wind propulsion	風力推進
a rocket propelled through space	在推力作用下穿越外太空的火箭
In good condition, dolls from this period sell for £500 apiece.	這個時期的玩偶，如果保存完好的話，每個可以賣到500英鎊。
She invited all her friends to her party, but only a handful of them turned up.	她請了很多朋友參加她的派對，但只有少數幾個到場。
Thousands of refugees are living in makeshift camps.	數千個難民居住在臨時帳篷裡。
The carnival was a magnificent spectacle.	嘉年華場面十分壯觀。
a wandering minstrel	到處流浪的吟遊歌手
All she gave him to eat was two minuscule pieces of toast.	她只給他吃了兩小片烤麵包。
The film's plot is predictable and the acting is mediocre.	這部影片的情節都能猜得到，演員的演技也不夠好。
