notoriously	(adverb)
deficient	(adjective)
slender	(adjective)
amass	(verb)
reburial	(noun)
fanciful	(adjective)
prevailing	(adjective)
maroon	(noun)
undisputed	(adjective)
locale	(noun)
detritus	(noun)
reign	(verb)
grain	(noun)
mill	(verb)
flicker	(verb)
puff	(verb)
apprentice	(verb)
endure	(verb)
sheer	(adjective)
lobe	(noun)
cruise	(noun)
deluge	(noun)
turbulent	(adjective)
stark	(adjective)
legion	(noun)
wedded	(adjective)
imperative	(adjective)
disdain	(noun)
calibre	(noun)
fixation	(noun)
pinpoint	(verb)
scarce	(adjective)
frigid	(adjective)
torrid	(adjective)
cripple	(verb)
corridor	(noun)
breeding	(noun)
flourish	(verb)
toehold	(noun)
gossamer	(noun)
buoyant	(adjective)
earthenware	(noun)
ornament	(noun)
spout	(noun)
crane	(noun)
regime	(noun)
divine	(adjective)
peg	(noun)
grind	(verb)
overcast	(adjective)
surmise	(verb)
impose	(verb)
