a brother or sister	兄;弟;姐;妹
seeming likely to be true, or able to be believed	貌似真實（或可信）的
the use of force or violence to control a group of people	（尤指透過武力進行的）鎮壓，壓制
a young child, especially one who is learning or has recently learned to walk	（尤指處於學步期或剛學會走路的）幼童
a child who is not old enough to go to formal school	學齡前兒童
all the animals that live wild in a particular area	（某一地區的）動物群
a hard, white substance that is used in making plaster of Paris	石膏
to form layers between different types of rock or other substances	互層;夾層
sand or soil that is carried along by flowing water and then dropped, especially at a bend in a river or at a river's opening	（尤指河灣或河口處的）淤泥，泥沙
water with salt in it, especially when used to preserve food	（尤指用於醃製食物的）鹽水
the situation when the members of a group or society are united	凝聚（力）；團結
something or someone that you think about all the time	困擾;無法擺脫的念頭;念念不忘的事（或人）
