total	合計的，總的；總數的
a system of dividing Hindu society into classes, or any of these classes	（印度社會的）種姓制度，種姓
great skill or style	（高超的）技藝，技巧
a fashion or general liking, especially one that is temporary	流行;時尚;時髦
staunch .	制止;止住（尤指出血）（同 staunch）
A strident sound is loud, unpleasant, and rough.	刺耳的，尖厲的
consisting of many different types that do not appear to go together	混雜的;不同種類的
a slight guilty feeling about something you have done or might do	良心的不安;內疚;自責;後悔
expressing a strong desire for sexual activity	淫蕩的，好色的
wanting to have something too much, especially something that belongs to someone else	（尤指對屬於別人的東西）貪求的，垂涎的
money or profit	金錢；利潤
a wall made of soil or other materials that is built next to a river to stop the river from overflowing (= coming out of a place because it is too full)	防洪堤（在河邊由土等材料築成的牆，以防止河水溢出）
an animal, plant, or person that lives in or is often in a particular place	（特定地區的）居民，常住者，動物，植物
a complicated and secret plan to get power or control or to gain an advantage:	沒有中文解釋
able to work as intended or able to succeed:	可以實施的；可望成功的
to join or unite to form a larger organization or group, or to make separate organizations do this	（使）聯合；（使）合併
a person who thinks and acts in an independent way, often behaving differently from the expected or usual way	特立獨行的人，行為不合常規的人
to make something bad such as pain or problems less severe	減輕；緩和，緩解
a device used on a ship or aircraft for measuring angles, such as those between stars or that between the sun and the earth, in order to discover the exact position of the ship or aircraft	（船舶或飛機精確定位用的）六分儀
respect and politeness	尊重，尊敬
