rude, unfriendly, and unpleasant	粗魯無禮的，粗野的;不友好的;令人討厭的
all the animals that live wild in a particular area	（某一地區的）動物群
solving problems in a sensible way that suits the conditions that really exist now, rather than obeying fixed theories, ideas, or rules	講究實際的，重實效的;實用主義的
to make something that is already bad even worse	使惡化；使加重；使加劇
a piece of writing, speech, etc. that praises someone or something	贊詞，頌詞
to trick or deceive someone	欺騙，哄騙
to make a law, agreement, order, or decision no longer have any (legal) power	廢除;取消;撤銷
having or showing a wish to harm someone because you think that they harmed you; unwilling to forgive	想復仇的;報復性的;懷恨在心的
of or calculated by the stars	恆星的;根據恆星計算的
changing mood or behaviour suddenly and unexpectedly	反覆無常的
used to describe (someone who has) strong opinions or feelings that are impossible to change	不饒人的;堅定的;無法改變的
If a person's voice or a part of their body is tremulous, it is shaking slightly.	（說話聲或身體部位）微顫的
If the cost of something is prohibitive, it is too expensive for most people.	（費用）高得負擔不起的，（價格等）使人望之卻步的
to laugh at someone or something in a way that shows you think they are stupid or of no value	嘲笑，譏笑
government by a small group of very powerful people	寡頭統治（的政府）;寡頭統治集團
