widespread apathy among students	學生中普遍的懈怠情緒
reforming/missionary/religious zeal	改革／傳教士般的／宗教熱情
The thought of him touching her filled her with deep loathing.	一想到他觸摸自己，她就感到非常噁心。
There's a history of antagonism between the two teams.	這兩支球隊是宿敵。
To the astonishment of her colleagues, she resigned.	她竟然辭職了，這讓她的同事們大吃一驚。
Aid workers were said to have been filled with dismay by the appalling conditions that the refugees were living in.	據說援助人員看到難民所處的惡劣生活環境時都感到非常難過。
He was one of the most determined, stubborn, persevering people I had ever met.	他是我見過的最堅定、最頑固、最堅持不懈的人之一。
They were in a state of euphoria for days after they won the prize.	獲獎之後一連幾天他們都處於亢奮狀態。
I didn't want to lose my composure in front of her.	我不想在她面前失態。
You could economize on food by not eating in restaurants all the time.	如果你不總是去餐廳吃飯，就可以在吃這方面節省很多。
His financial problems escalated after he became unemployed.	他失業後，經濟問題更是雪上加霜。
Compulsory savings - which stay with you - are a lot less confiscatory than taxation.
The doctor's waiting room was bright and cheerful with yellow walls and curtains.	醫生候診室的牆壁和窗簾都是黃色的，給人明亮宜人的感覺。		
Peter's academic success delighted his family.	彼得在學校裡的良好表現讓全家人感到高興。		
My sojourn in the youth hostel was thankfully short.	幸好我在青年旅館逗留的時間很短。
to be shy and retiring	靦腆孤僻		
It's normal to feel a little apprehension before starting a new job.	在開始新工作前感到有些忐忑不安是很正常的。		
The congresswoman said she was resigning, but refused to elaborate on her reasons for doing so.	這位國會女議員說她要辭職，但拒絕說明辭職的原因。		
Our goals are congruent; there is no conflict.	我們的目標是一致的，沒有衝突。		
a life of consummate happiness	美滿的幸福生活
no example found
The report exonerated the crew from all responsibility for the collision.	報告證明機組人員對飛機相撞事件不負任何責任。
We are facing an intractable problem.	我們面臨著一個棘手的問題。
no example found
a diffident manner	羞怯的舉止
The food was nice enough but the service was somewhat lackadaisical.	這裡的飯菜不錯但服務不夠殷勤。
The accident left me incapacitated for seven months.	這次意外導致我七個月不能正常生活和工作。
Many children are hapless victims of this war.	許多兒童是這場戰爭不幸的受害者。
She regarded him with wide, guileless blue eyes.	她瞪著一雙純真無邪的藍色大眼睛看著他。
a duplicitous traitor/spy/politician	雙面叛徒／間諜／政客
He's seemed listless and a little depressed ever since he got his exam results.	自從得知自己的考試分數後他就一直無精打采，心情也有些低落。
"Why did you take the money?" she asked the child. "Because I wanted it," came the artless reply.	「你為甚麼要拿這些錢？」她問那個孩子。「因為我想要。」孩子天真地回答。
Some of these statements are misleading and some are downright mendacious.	這些陳述有些有誤導性，有些完全是捏造的。
The article described the latest crime figures as "disturbing".	這篇文章表示最近的犯罪數目「令人擔憂」。
He muttered something unintelligible.	他嘴裡不知咕噥些甚麽。
He has an esoteric collection of old toys and games.	他收藏了一批極罕見的老玩具和遊戲。
a controversial issue/decision/speech/figure	有爭議的問題／決議／講話／數字
He can be very obstinate at times.	他有的時候會非常固執。		
The cost-cutting measures include streamlining administrative procedures in the company.	縮減開支的措施包括簡化公司的行政管理程式。		
no example found		
a celebrated opera singer/city/novel	著名歌劇演唱家／名城／著名小說
a histrionic outburst	裝腔作勢的情感爆發
The government has tried to assuage the public's fears.	政府努力消除公眾的恐慌。
He would have to find work to augment his income.	他可能不得不找一些工作來增加收入。
an ignominious defeat/failure/retreat	聲譽掃地的落敗／可恥的失敗／恥辱的撤退
This type of bird is very inconspicuous because of its dull feathers.	這種鳥因其羽毛灰暗而毫不起眼。
a famous actress/building	著名的女演員／建築
Many native speakers of a language show indifference to/towards grammatical points.	許多人都不關注其母語的文法。
There's great mystique attached to/surrounding the life of a movie star.	影星的生活都籠罩著濃厚的神秘色彩。
an apocryphal story	杜撰的故事
Are you able to verify your account/allegation/report/theory?	你能證明你的陳述／指控／報告／理論嗎？
Education is the current focus of public debate.	教育是目前大眾談論的焦點。		
He was briefly famous in his twenties but then sank into obscurity.	他在20來歲時曾一度小有名氣，但隨後便湮沒無聞了。		
A worrying trend for insurers has been a rise in fraudulent claims.	令保險公司不安的是，詐騙性的索賠呈上升趨勢。		
Excessive managerial control is inimical to creative expression.	過度的管制不利於表現創造力。
no example found		
a famous actress/building	著名的女演員／建築
an abstruse philosophical essay	深奧的哲學文章
He was probably the most prolific songwriter of his generation.	他可能是他這一代中最多產的歌曲作家。
This project is a terrible waste of money.	這個專案計劃完全是在浪費錢財。		
political/social/economic ineptitude	政治/社會/經濟無能
Attitudes seem to be changing as a result of recent highly publicized cases of sexual harassment.	由於最近的幾宗性騷擾案件受到連續報道，大眾的看法似乎正在轉變。
I could just discern a figure in the darkness.	在黑暗中我只能看出一個人影。
"Why did you do it?" "Because Carlos told me to".	「你為甚麼做出這事？」「因為卡洛斯叫我去做的。」
to incinerate waste	焚燒廢棄物
a deep mellifluous voice	渾厚悅耳的嗓音
Make your answers clear and concise.	回答要言簡意賅。
She had a laconic wit.	她說話言簡意賅。
the soporific effect of the heat	炎熱天氣的催眠作用
These chemicals have a detrimental effect/impact on the environment.	這些化學品對環境有危害。
Trauma researchers emphasize the resilience of the human psyche.	創傷研究人員強調人類心理的復原力。		
I'm prepared to overlook his behaviour this time.	這次我打算對他的行為不予計較。		
Emma went to work in New York a year ago, and we haven't seen her since.	埃瑪一年前去紐約工作了，自從那時起我們就沒有見過她。		
She walked home by herself, although she knew that it was dangerous.	她一個人步行回家，儘管她知道那樣做很危險。		
There has been a reported hijack in Tel Aviv this morning.	據傳今天上午在特拉維夫有一架飛機被劫持。		
She explained the whole idea again, but I still didn't understand.	她把整個想法又解釋了一遍，但我還是不明白。		
When the poet stumbled over a line in the middle of a poem, someone in the audience corrected him.	詩人在朗誦一首詩的過程中唸錯了一句，聽眾中有人糾正了他。		
We could hear the rich, euphonic voices of the choir.		
People are put off by his strident voice.	人們很厭惡他那刺耳的嗓音。		
The improvement in sales figures had a beneficial effect/influence on the company as a whole.	銷售額的上升使整間公司受益。
There was a barely perceptible movement in his right arm.	他的右臂微微動了一下。
These drugs have a proven deleterious effect on the nervous system.	已證實這些藥物對神經系統有危害作用。
He doesn't live in a very salubrious part of town.	他住的地方是鎮上不太適宜居住的地方。
His book extolling the benefits of vegetarianism sold thousands of copies.	他那本宣揚素食益處的書賣出了好幾千本。
no example found
[ + -ing verb ] I'm contemplating going abroad for a year.	我打算出國一年。
The proposed new testing system has been vigorously opposed by teachers.	實行新考試制度的提議遭到教師們的強烈反對。
Her ex-husband renounced his claim to the family house.	她的前夫宣佈放棄對家裡房子的所有權要求。
The employees were unhelpful and discourteous.	這些僱員不願意提供幫助而且粗暴無禮。
She is embarrassingly obsequious to anyone in authority.	她差不多對任何當權者都卑躬屈膝，真令人難堪。
He is very reticent about his past.	他不願談及他的過去。
He told us to disregard everything we'd learned so far and start again.	他告訴我們不要考慮所學過的東西，一切要重新開始。		
She rarely spoke her mind out of fear of being ridiculed.	她怕人嘲笑，幾乎從來不說出自己的想法。		
To all his problems she affected indifference.	對他所有的問題，她都裝作漠不關心的樣子。		
She was mimicking the various people in our office.	她在學我們辦公室裡各人的樣子。		
I like the contrast of the white trousers with the black jacket.	我喜歡白色長褲與黑色外套形成的對比。		
Emma's a gregarious, outgoing sort of person.	艾瑪是個喜歡交際、性情爽直的人。		
a scurrilous remark/attack/article	詆毀的話／攻擊／文章
The success of the event will be determined by the vagaries of the weather.	這場活動能否成功將取決於天氣的變化。
[ + that ] Most industrialists labour under a misapprehension (= wrongly believe) that unrestrained economic growth can be achieved without damaging the environment.	大多數工業家都誤以為不破壞環境也可以實現無限制的經濟增長。
Any decrease in tourism could have serious repercussions for the local economy.	旅遊業只要出現任何一點衰退，都可能會給當地經濟帶來嚴重影響。
a monumental task	重大的任務
The misery suffered in this war makes your own problems seem pretty picayune.	和這場戰爭的苦難相比，個人的煩惱頓時顯得微不足道。
an outlandish hairstyle/outfit	古怪的髮型／裝束
He spoke in a haughty, supercilious voice.	他說話時語氣傲慢，目中無人。
His smile was perfunctory.	他的笑容很敷衍。
She incited racial hatred by distributing anti-Semitic leaflets.	她派發反猶太傳單煽動種族仇恨。
The treaty was abrogated in 1929.	該條約於1929年廢止。
He roused himself (from a pleasant daydream) and got back to work.	他不再沈迷（於甜蜜的白日夢中），開始重新投入工作。
Unions claim that the management continues to maintain an intransigent position.	工會稱資方繼續堅持拒不讓步的立場。
Emma's a gregarious, outgoing sort of person.	艾瑪是個喜歡交際、性情爽直的人。		
The author's prolix style has done nothing to encourage sales of the book.	這個作者冗長的寫作風格無益促進該書的銷售。
a pithy remark	言簡意賅的評論		
an abstruse philosophical essay	深奧的哲學文章
Predictably the president parried enquiries about the arms scandal.	正如所料，總統迴避了有關武器醜聞的種種查問。		
The fighting in the city followed reports of the rebels marshalling their forces in the countryside.	叛軍在郊外集結力量的消息傳出後，城內發生了戰鬥。		
He pacified his crying child with a bottle.	他用奶瓶來哄自己哭鬧的孩子。		
a noisome stench	惡臭
The audience was becoming restive as they waited for the performance to begin.	觀衆們等待演出開始時變得越來越不耐煩。
Considering the weather, we got here pretty quickly.	考慮到天氣因素，我們到這裡算夠快的了。
"Why did you do it?" "Because Carlos told me to".	「你為甚麼做出這事？」「因為卡洛斯叫我去做的。」
The report criticizes the banks for being imprudent in their lending.	該報告批評銀行在貸款方面不謹慎。
It has to be said it was rather ingenuous of him to ask a complete stranger to take care of his luggage.	他讓一個完全陌生的人幫自己看管行李，這未免也太天真了。
I find chicken a little bland.	我覺得雞肉有點淡。
no example found
scanty evidence/information	不充分的證據／資訊
He looks robust and healthy enough.	他看起來非常強壯健康。
She gave a clear and lucid account of her plans for the company's future.	她清楚明瞭地講述了自己對公司未來的規劃。
If only she'd been called Camilla or Flavia instead of the prosaic Jane.	要是她叫「卡蜜拉」或「弗拉維亞」而不是叫「珍」這個平常的名字該多好。
an abstruse philosophical essay	深奧的哲學文章
While I accept that he's not perfect in many respects, I do actually like the man.	雖然我承認他在很多方面不是那麼完美，但我實際上還是非常喜歡這個男人。		
He's so cheap he didn't even buy me a card for my birthday.	他真小氣，居然連張生日卡都沒給我買。		
poisonous chemicals	有毒化學物質		
It was a building of singular grace and beauty.	這棟建築物非常雅致、漂亮。		
A move towards healthy eating could help eliminate heart disease.	養成健康的飲食習慣有助於消除心臟病誘因。		
The documents had been duplicated.	這些文件已經被複印過了。		
to preserve the environment	保護環境		
no example found
Nelson Mandela was a truly remarkable man.	納爾遜．曼德拉確實是個了不起的人。
a pivotal figure/role/idea	關鍵人物／角色／想法
We had to work from material that was both complex and recondite.	我們不得不從那些複雜晦澀的資料著手開始工作。
the momentous news of the president's death	總統去世的重大消息
These people are seeking/taking refuge from persecution.	這些受到迫害的人正在尋求庇護。
She commented loudly on the tacky gaudinessof the card.	她大聲地評價說這張卡片又俗氣又花哨。
It was bedlam at the football stadium after the match was suspended.	比賽中止後，足球場上一片混亂。
He was always punctilious in his manners.	他的舉止總是循規蹈矩。
Local activist groups have become increasingly vociferous as the volume of traffic passing through the village has increased.	隨著途經村子的車輛不斷增加，當地激進主義團體的抱怨聲也越來越大。
scathing criticism	嚴厲的批評
a witty comment/remark	風趣的評論／話語
She has lost her battle to retain control of the company.	她被打敗了，失去了繼續掌管公司的權力。		
She has cultivated an image as a tough negotiator.	她將自己的形象塑造成一個強硬的談判者。		
He's an immense goalkeeper.	他是一名非常出色的守門員。		
ancient civilizations/rights/laws	古代文明／自古有之的權利／古代法律		
The stadium was littered with the detritus of yesterday's concert.	體育館裡到處都是昨天舉行音樂會後留下的垃圾。		
He asked me to give him another loan, but I refused.	他讓我再借給他一筆錢，我拒絕了。		
A short drive through the countryside reveals vast swathes of barrenness.	穿過鄉村的一小段車程就可以看到大片的貧瘠之地。		
The piece, as one waggish writer put it, "begins like Bach and ends like Offenbach."	這首曲子，正如一位詼諧的作者所言，「像巴赫一樣開始，像奧芬巴赫一樣結束」。		
a vicious thug	兇殘的暴徒		
